# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
23367.2000 e76 632357 1 668.2000 p207 p206 288 N p207->p206
23398.1000 e75 653297 1 1044.1000 p200 p207 282 N p200->p207
23532.1000 w703 530423 1 2797.1000 n144 n109 253 N n144->n109
23696.8000 w237 749832 1 16712.8000 n94 n34 21 N n94->n34
23755.2000 w569 813587 1 7004.2000 n15 n132 183 N n15->n132
23991.0000 w264 701937 1 16218.0000 n0 n189 29 N n0->n189
24066.0000 w626 669608 1 5605.0000 n34 n166 206 N n34->n166
24075.5000 w693 606999 1 3644.5000 n183 n128 239 N n183->n128
24215.6000 w348 530265 1 13985.6000 n105 n193 66 N n105->n193
24277.5000 w255 734959 1 16778.5000 n183 n71 20 N n183->n71
24400.9000 w351 957545 1 14082.9000 n155 n146 65 N n155->n146
24443.9000 e82 959253 1 3.9000 p203 p208 299 N p203->p208
24518.7000 e80 765579 1 649.7000 p203 p204 289 N p203->p204
24592.5000 w821 941490 1 387.5000 n69 n129 293 N n69->n129
24592.7000 w413 722551 1 12414.7000 n47 n98 93 N n47->n98
24723.2000 e53 664196 1 9096.2000 p202 p204 148 N p202->p204
24727.1000 e59 953766 1 7235.1000 p204 p202 179 N p204->p202
24751.8000 w783 572572 1 1654.8000 n96 n94 272 N n96->n94
24799.1000 w373 733197 1 13829.1000 n51 n166 69 N n51->n166
24815.6000 w736 880828 1 3117.6000 n126 n1 248 N n126->n1
24825.9000 w402 896418 1 12967.9000 n78 n87 83 N n78->n87
24870.9000 w392 684072 1 13320.9000 n119 n156 77 N n119->n156
24918.7000 w269 646722 1 16990.7000 n60 n2 16 N n60->n2
25066.4000 w790 731826 1 1757.4000 n43 n94 270 N n43->n94
25193.1000 e78 872294 1 1886.1000 p205 p208 268 N p205->p208
25341.0000 e79 820087 1 1777.0000 p201 p206 270 N p201->p206
25378.8000 w700 503187 1 4730.8000 n12 n38 221 N n12->n38
25398.7000 w756 701933 1 3091.7000 n160 n22 248 N n160->n22
25597.7000 e77 846890 1 2610.7000 p206 p203 256 N p206->p203
25625.0000 e74 629708 1 3564.0000 p208 p202 240 N p208->p202
25628.5000 e42 867480 1 13179.5000 p208 p202 80 N p208->p202
25631.6000 e66 770635 1 6045.6000 p208 p202 199 N p208->p202
25718.1000 w741 956174 1 3870.1000 n22 n33 235 N n22->n33
25807.6000 w684 948280 1 5658.6000 n122 n161 205 N n122->n161
25920.8000 w704 972039 1 5153.8000 n77 n166 214 N n77->n166
25962.2000 w852 777427 1 859.2000 n117 n11 285 N n117->n11
26087.6000 e83 836082 1 1316.6000 p204 p201 278 N p204->p201
26136.1000 w767 682755 1 3512.1000 n142 n68 241 N n142->n68
26145.8000 e86 532080 1 527.8000 p206 p208 291 N p206->p208
26165.0000 w588 783050 1 8829.0000 n45 n127 152 N n45->n127
26251.8000 w643 525351 1 7283.8000 n192 n99 178 N n192->n99
26306.8000 w730 581242 1 4778.8000 n143 n179 220 N n143->n179
26399.7000 e88 945196 1 223.7000 p205 p207 296 N p205->p207
26428.1000 w581 516185 1 9305.1000 n11 n25 144 N n11->n25
26434.7000 w408 507695 1 14405.7000 n150 n29 59 N n150->n29
26501.2000 w322 643812 1 17068.2000 n170 n159 15 N n170->n159
26588.7000 w837 524538 1 1925.7000 n79 n128 267 N n79->n128
26596.0000 w699 500116 1 5982.0000 n8 n61 200 N n8->n61
26603.6000 w681 836326 1 6541.6000 n107 n100 190 N n107->n100
26653.7000 w559 868526 1 10193.7000 n90 n149 130 N n90->n149
26703.9000 e84 975584 1 1640.9000 p200 p203 272 N p200->p203
26757.2000 w345 703785 1 16623.2000 n153 n77 22 N n153->n77
26829.3000 e87 825413 1 906.3000 p201 p206 284 N p201->p206
26831.1000 w575 753931 1 9898.1000 n25 n29 135 N n25->n29
26921.9000 e81 990122 1 2759.9000 p202 p205 254 N p202->p205
